Table 10. All Intervention Matches in single trials that included more than 1 neurodegenerative disorder.,,,,,,,,,,,,jlc,
Drug,Trial,Phase,Diagnosis,Number of Participants,Duration of Trial,Primary Outcome(s),Biomarker Outcome(s),Year Registered,Status,,,,
Intervention Group,NCT02521558,N/A,"AD, MCI",30,"During intervention (6 month time frame, composite measure)",Changes in cognition as measured by the Mini Mental Status Exam; Changes in cognition as measured by the Montreal Cognitive Assessment; Changes in cognition as measured by the Consortium to Establish a Registry in Alzheimer's disease Word List Test; Changes in cognition as measured Letter and Category Fluency; Changes in cognition as measured by the Boston Naming Test (Short Form); Changes in cognition as measured by the Trail Making Parts A & B; Changes in performance on cognitive rehabilitation tasks (composite measure of memory tasks),,2015,2021; Terminated,,,behav,device
Virtual Kitchen Training,NCT04315337,N/A,"AD, MCI",40,1 day post-training,Real Trained Task Performance- Accomplishment; Real Trained Task Performance- Overt Commission Errors; Real Trained Task Performance- Micro-errors; Real Trained Task Performance- Completion Time; Virtual Reality Training Acceptability; Virtual Reality Training Usability,,2020,2021; Recruiting,,,device,
Pramlintide challenge test,NCT03560960,Early P1,"MCI, AD",240,"baseline, 12 and 24 m post challenge",Plasma Aβ and t-tau changes; Plasma inflammatory changes; Plasma metabolic changes in blood; Change in MMSE; Change in CDR; Change in NAB; Change in WMS-III Logical Memory; Change in CLOX paradigm; Change in Trailmaking Test Part B; Change in Controlled Oral Word Association Test,,2018,2021; Recruiting,,,biom,
"Spectral-Domain Optical Coherence Tomography (SD-OCT), Positron Emission Tomography (PET), Comprehensive Ophthalmic Examination, Fundus Photography",NCT03699644,N/A,"FTDLD, AD",50,45 Minutes,Presence of Retinal Thinning; Presence of Amyloid Plaque; Presence of Brain Pathology; Presence of Brain Metabolism; Presence of Macular Vascular Anomalies,,2018,2021; Suspended,,,biom,
"Midodrine, sham compression",NCT04620382,Early P1,"MSA, PD",31,1 hour post-intervention tilt table test,Hemodynamic markers of cardiovascular risk,,2020,2021; Recruiting,,,drug,
Zoledronic Acid 5Mg/Bag 100Ml Inj,NCT03924414,P4,"MSA, PD, DLB, PSP",3500,2 years,Number of Participants Hip Fractures; Mortality; Number of Participants with Clinical Fractures,,2019,2021; Recruiting,,,drug,
Digital Memory Notebook (DMN) Application,NCT04240665,N/A,"AD, MCI",20,"Week 1, Week 8, and Week 12",Real-time data extracted from the DMN Application; Participant Questionnaire Outcomes,,2020,2021; Enrolling by invitation,,,device,
Emtriva Capsule,NCT04500847,P1,"MCI, AD",35,Screening phase to month 6 after first treatment,"Number of participants with treatment emergent adverse events (TEAE's) in the treatment group will be compared to the placebo group; Change from baseline in key inflammatory biomarkers; Tumor necrosis factor-alpha (TNF-α), Interleukin 1-beta (IL-1β), and Interferon-alpha (IFN-α); Change in Mini Mental State Examination (MMSE) Total Scores; Change from baseline in Clinical Dementia Rating (CDR); Change from baseline in Alzheimer's Disease Assessment Scale-cognitive (ADAS-Cog -13); Change from baseline in Alzheimer's Disease Cooperative Study-Activities of Daily Living (ADCS-ADL); Change from baseline in Free and Cued Selective Reminding Test (FCSRT+IR) with delayed recall; Change from baseline in cerebrospinal fluid (CSF) phosphorylated tau/amyloid beta 42 (pTau/Aβ42) ratios",,2020,2021; Not yet recruiting,,,drug,
"Altoida: neuropsychological, EEG and CSF biomarkers",NCT02843529,N/A,"MCI, AD",548,"baseline, 6, 12, 24, 36 and 42 m of follow up",Change From Baseline in Clinical Measure 7; Change From Baseline in Clinical Measure 6; Change From Baseline in Clinical Measure 5; Change From Baseline in Clinical Measure 4; Change From Baseline in Clinical Measure 3; Change From Baseline in Clinical Measure 2; Change From Baseline in Clinical Measure 1; Change of CSF Biomarkers Tau and ptau181 Values; Changes in Driving Breaking Force; MRI (Optional); Change From Baseline in Cognitive Measure; Changes in Driving Violations; Changes in Driving Direction; Changes in Driving Acceleration Velocity; Change of Brain Amyloid Deposition; Total Abeta 1-42 (Aβ42) Amyloid Deposition; Secondary Resting State Auditory Oddball ERP Endpoints; Secondary Resting State EEG Endpoints; Change in Diagnostic Area Under the Receiver Operating Characteristic Curve (ROC-AUC),,2016,2021; Completed,,,device,
[11C]MPC6827,NCT04575727,Early P1,"AD, ALS",40,Up to 48 hours from injection,Biodistribution of [11C]MPC6827; Estimation of clearance of [11C]MPC6827,,2020,2021; Recruiting,,,biom,
ReCODE Protocol,NCT03883633,,"AD, MCI",30,"Given at enrollment and repeated at three m, six m and nine m after enrollment",Changes in short-time memory function; Changes in cognitive function; Perceived changes in capability assessed by input from care giver or family member,,2019,2021; Completed,,,suppl,
[18F]-PI2620,NCT04715750,P1,"PSP, AD",10,From injection of [18F]PI-2620 until up to 6 d after injection,Comparability of visual assessment of PI-2620 tau PET images obtained after injection of high specific activity and low specific activity in AD and PSP patients.; Comparability of quantitative assessment of PI-2620 tau PET images obtained after injection of high specific activity and low specific activity in AD and PSP patients.; Number of adverse events,,2021,2021; Recruiting,,,biom,
characterization,NCT02590276,N/A,"ALS, FTDLD",100,32 w,"Change in behavioral assessment (20 scales); Change in MRI morphological criteria; Change in cerebral perfusion by SPECT / PET; correlations between behavioral assessment, MRI morphological criteria, Cerebral perfusion and metabolism by SPECT / PET and transcriptome analysis",,2015,2021; Completed,,,biom,
TD-9855,NCT02705755,P2,"MSA, PD",34,Up to approximately 168 d for Part C,Seated systolic blood pressure; Adverse Events; Orthostatic hypotension symptoms,,2016,2021; Completed,,,drug,
ABvac40,NCT03461276,P2,"AD, MCI",120,18 m,Incidence of treatment-emergent adverse events [safety and tolerability]; Immune response,,2018,"2021; Active, not recruiting",,,drug,
No intervention,NCT04715399,,"AD, PSP, ALS, FTDLD",1000,"This is a natural history study-participants are followed from date of enrollment until death, withdraw, or funding is no longer available, or until 600 m have passed.",Status of progression - changes in neuropsychological tests.; Status of progression - changes in language processing.; Status of progression - changes in social disinhibition.; Status of progression - changes in biofluids.; Status of progression -changes in Neuroimaging,,2021,2021; Recruiting,,,delete,
Tailored music listening intervention,NCT04157244,N/A,"MCI, AD, FTDLD",32,Baseline and 4 w,Study Measures Completion; Acceptability of the study components; Objective sleep measures; The Quality of Life in Alzheimer's Disease Scale (QOL-AD),,2019,2021; Completed,,,behav,
Tailored Lighting Intervention,NCT03933696,N/A,"AD, MCI",30,"One morning during Baseline, week 13, 25 and 48",Sleep disturbance; Metabolic control; Depression; Cognition; Sleep disturbance using actigraphy; Light measurements; Melatonin Levels,,2019,2021; Recruiting,,,device,
Lighting Intervention,NCT04073628,N/A,"AD, MCI",240,"Will be administered at baseline and the end of w 9, 17, 25 and 37",Quality of Life using the Quality of Life in Alzheimer's Disease D - QOL-AD; Cognition using the Word Pairs Associates (WPA) Task; Cognition in the Caregiver using the Word Pairs Associates (WPA) Task; Cognition using the Working Memory (WM) Task; Cognition using Implicit Priming Task; Cognition using the Alzheimer's Disease Assessment Scale-Cognitive (ADAS-Cog); Sleep Quality in the MCI Participant using the Pittsburgh Sleep Quality Index (PSQI); Sleep Quality in the Caregiver using the Pittsburgh Sleep Quality Index (PSQI); Sleep Spindles using Ambulatory Electroencephalography (EEG); Slow Oscillation Sleep Activity using Ambulatory Electroencephalography (EEG); Caregiver Burden using the Zarit Burden Interview (ZBI); Depression using the Geriatric Depression Scale (GDS); Quality of Life using the Dementia Quality of Life Instrument (DQoL); Light Exposure measurement in MCI Participants; Light Exposure in Caregivers; Sleep Efficiency in the MCI Participant; Sleep Efficiency in the Caregiver; Cognition in the Caregiver using the Working Memory (WM) Task; Cognition using the Montreal Cognitive Assessment (MoCA) tool; Cognition using the Clinical Dementia Rating Scale Sum of Boxes (CDR-SOB) tool; Depression using the Center for Epidemiological Studies Depression Scale (CES-D),,2019,2021; Recruiting,,,device,
Building Better Caregivers Workshop,NCT04428112,N/A,"PD, FTDLD, AD",640,Baseline and 12 m,Change in visual numeric stress scale score from baseline to 12 months; Change in Personal Health Questionnaire Depression (PHQ-8) scale score from baseline to 12 months; Change in Short Caregiver Self-Efficacy scale score from baseline to 12 months; Change in Zarit Burden Interview-12 (ZBI-12) scale score from baseline to 12 months; Change in caregiver self-rated general health score from baseline to 12 months; Change in person with dementia general health score as reported by caregiver from baseline to 12 months; Change in UCLA loneliness scale score from baseline to 12 months; Change in Lubben Social isolation scale score from baseline to 12 months; Change in caregiver health care utilization from baseline to 12 months; Change in person with dementia health care utilization as reported by caregiver from baseline to 12 months; Change in caregiver benefits scale score from baseline to 12 months; Change in exercise behavior scale score from baseline to 12 months,,2020,2021; Recruiting,,,behav,
TMS,NCT03224988,,"AD, MCI",60,3 years,Establish the structural basis for bilateral brain interactions in healthy older adults.; Establish the structural basis for bilateral brain interactions in MCI-AD older adults.; Establish the temporal dynamics of cross-hemispheric communication in normal aging using unilateral TMS; Establish the temporal dynamics of cross-hemispheric communication in normal aging using bilateral TMS; Establish the temporal dynamics of cross-hemispheric communication in normal aging using EEG; Establish the temporal dynamics of cross-hemispheric communication in MCI-AD using unilateral TMS; Establish the temporal dynamics of cross-hemispheric communication in MCI-AD using bilateral TMS; Establish the temporal dynamics of cross-hemispheric communication in MCI-AD using EEG,,2017,2021; Recruiting,,,device,
"Receive tDCS+CR, Facilitate tDCS + CR",NCT02959502,N/A,"AD, MCI",40,Baseline to 8 w after baseline.,"Feasibility of training a facilitator (caregiver) to facilitate the administration of CR+tDCS to their ""patient"" partner as indicated by a positive response in the Perceived Competence Scale at 24 months from study baseline.; Assess change in Quality of Life Scale scores among patients between baseline and at the end of the 8-week course.; Measure the change in Quality of Life Scale scores among facilitators between baseline and at the end of the 8-week course.; Measure the change in cognition (as indicated by a change in the Sheehan Disability Scale) among patients between baseline and at the end of the 8-week course; Measure the change in cognition (as indicated by a change in the Sheehan Disability Scale) among facilitators between baseline and at the end of the 8-week course",,2016,2021; Recruiting,,,device,
"Florbetaben, Fluorodeoxyglucose",NCT03507257,,"MCI, AD",700,"CN participants: Month 0, Month 12 and Month 24; EOAD/EOnonAD participants: Month 0, Month 12, Month 24, Month 36 and Month 48",Rate of change in cognition as measured by the Alzheimer's Disease Assessment Scale-Cognitive (ADAS-Cog13); Rate of change in cognition as measured by the Clinical Dementia Rating - Sum of Boxes (CDR-SB); Change in tau deposition as measured by flortaucipir (18F-AV-1451) Positron Emission Tomography (PET) imaging; Change in amyloid deposition as measured by florbetaben using Positron Emission Tomography (PET) imaging; Neurodegeneration as measured by fluorodeoxyglucose (FDG) Positron Emission Tomography (PET) imaging compared to magnetic resonance imaging (MRI); Change in brain structure using magnetic resonance imaging (MRI); Change in cerebrospinal fluid (CSF) biomarkers; Change in plasma biomarkers,,2018,2020; Recruiting,,,biom,
[F-18]FDDNP-PET,NCT04311281,,"AD, CTE",180,2 years,Clinical Dementia Rating Sum of Box Scores (CDR-SB); Change in Executive Functioning Domain Score; Conversion to Dementia,,2020,2020; Not yet recruiting,,,biom,
"AV1451 Tau, C-11 PiB",NCT04680130,,"CBD, FTDLD, PSP",500,1 year,Imaging analysis,,2020,2020; Recruiting,,,biom,
Florbetapir F 18 PET Scan,NCT02951598,N/A,"MCI, AD",1400,Baseline through Study Completion (36 Months),Mean Economic Cost Associated with Amyloid Positive AD; Healthcare Resource Use by AD Cohort; Mean Economic Cost by AD Cohort; Bath Assessment of Subjective Quality of Life in Dementia (BASQID); Mini-Mental State Examination (MMSE); Alzheimer's Disease Assessment Scale - Cognitive Subscale (ADAS-Cog14); Neuropsychiatric Inventory (NPI); Functional Activities Questionnaire (FAQ); Cognitive Function Inventory (CFI); Zarit Burden Interview (ZBI); Percentage of Participants with a Change in Living Situation; Time to Transition Across Stages of AD; Desire to Institutionalize Scale (DTI),,2016,"2020; Active, not recruiting",,,biom,
